codi                           area_joc_id             tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom   codi_carrer            tipus_via   nom_carrer              numero_postal codi_districte nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                espai_verd_codi        espai_verd_nom
0005-01-J001-PV001-0000332JO                   42350   GRONXADOR          75.25                                             547   DE_6_A_12_ANYS                          209900   Av          Meridiana                        164              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              432.006.109              4.584.759.536              21.864.486                      5   Doctor_Serrat_Pl.
0005-01-J001-PV001-0000333JO                   42350   BALANCi            75.25                                             547   DE_6_A_12_ANYS                          209900   Av          Meridiana                        164              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              432.007.663              4.584.753.931              21.864.679                      5   Doctor_Serrat_Pl.
0005-01-J001-PV001-0000334JO                   42350   BALANCi            75.25                                             547   DE_6_A_12_ANYS                          209900   Av          Meridiana                        164              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              432.008.990              4.584.756.919              21.864.834                      5   Doctor_Serrat_Pl.
0005-01-J001-PV001-0004663JO                   42350   SEIENT_GRONXADOR   75.25                                             547   DE_6_A_12_ANYS                          209900   Av          Meridiana                        164              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              432.005.843              4.584.758.796              21.864.455                      5   Doctor_Serrat_Pl.
0005-01-J001-PV001-0004664JO                   42350   SEIENT_GRONXADOR   75.25                                             547   DE_6_A_12_ANYS                          209900   Av          Meridiana                        164              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              432.006.383              4.584.759.898              21.864.519                      5   Doctor_Serrat_Pl.
0006-01-J001-PV001-0000326JO                   42322   BALANCi            101.57                                            549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.475.207              4.584.439.203              21.920.966                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0000328JO                   42322   GRONXADOR          101.57                                            549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.484.069              4.584.438.004              21.922.028                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0000330JO                   42322   VA_I_Ve            101.57                                            549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.479.659              4.584.435.805              21.921.503                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0004665JO                   42322   SEIENT_GRONXADOR   101.57                                            549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.483.680              4.584.438.674              21.921.981                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0004666JO                   42322   SEIENT_GRONXADOR   101.57                                            549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.484.343              4.584.437.592              21.922.061                      6   Valenti_Almirall_Pl.
