Data_Referencia Codi_Districte Nom_Districte Codi_Barri    Nom_Barri   AEB       Valor        SEXE       EDAT_1
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   88
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      11   1   89
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   90
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      6    1   91
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   92
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   93
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   94
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   95
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   97
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   98
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   99
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        1   100
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2    0
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2    1
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      17   2    2
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      12   2    3
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2    4
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      11   2    5
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2    6
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2    7
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      9    2    8
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2    9
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      9    2   10
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   11
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   12
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      9    2   13
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   14
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   15
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      6    2   16
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   17
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2   18
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   11   2   19
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   19   2   20
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   13   2   21
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   14   2   22
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   22   2   23
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   33   2   24
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   32   2   25
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   29   2   26
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   47   2   27
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   40   2   28
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   47   2   29
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   40   2   30
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   41   2   31
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   32   2   32
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   40   2   33
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   29   2   34
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   42   2   35
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   40   2   36
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   35   2   37
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   40   2   38
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   43   2   39
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   36   2   40
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   36   2   41
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   18   2   42
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   24   2   43
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   19   2   44
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   29   2   45
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   18   2   46
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   11   2   47
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   16   2   48
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   20   2   49
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   23   2   50
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   23   2   51
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   15   2   52
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   15   2   53
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   21   2   54
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   16   2   55
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   13   2   56
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   11   2   57
2020-01-01   1 Ciutat_Vella   1 el_Raval   1   10   2   58
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2   59
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      15   2   60
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      11   2   61
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   62
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   63
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      9    2   64
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      9    2   65
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      12   2   66
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      10   2   67
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2   68
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      13   2   69
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   70
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   71
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      5    2   72
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   73
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      5    2   74
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   75
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   76
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   77
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   78
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      10   2   79
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      8    2   80
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      6    2   81
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   82
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      5    2   83
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   84
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   85
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      5    2   86
2020-01-01   1 Ciutat_Vella   1 el_Raval   1      7    2   87
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   88
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   89
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   90
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   92
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   93
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   94
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   95
2020-01-01   1 Ciutat_Vella   1 el_Raval   1 ..        2   99
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      35   1   0
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      38   1   1
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      33   1   2
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   39   1   3
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   32   1   4
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   34   1   5
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   55   1   6
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   33   1   7
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   44   1   8
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   32   1   9
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   38   1   10
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   33   1   11
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   28   1   12
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   26   1   13
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   34   1   14
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   30   1   15
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   34   1   16
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   34   1   17
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   23   1   18
