codi                           codi_carrer        tipus_via   nom_carrer           numero_postal          codi_districte        nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                latitud                 espai_verd_codi        espai_verd_nom
0006-01-J001-PV001-0000330JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.479.659              4.584.435.805              21.921.503             414.086.342                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0004665JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.483.680              4.584.438.674              21.921.981             414.086.604                      6   Valenti_Almirall_Pl.
0006-01-J001-PV001-0004666JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.484.343              4.584.437.592              21.922.061             414.086.507                      6   Valenti_Almirall_Pl.
0006-01-J002-PV001-0000325JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.493.895              4.584.446.032              21.923.194             414.087.275                      6   Valenti_Almirall_Pl.
0006-01-J002-PV001-0000327JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.495.427              4.584.455.412              21.923.367             414.088.121                      6   Valenti_Almirall_Pl.
0006-01-J002-PV001-0000329JO             350603   Pl          Valenti_Almirall                        7                    10   Sant_Marti                   65   el_Clot                                 432.496.371              4.584.451.005              21.923.485             414.087.725                      6   Valenti_Almirall_Pl.
0007-01-J001-PV001-0000324JO             109101   C           Enamorats                             154                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.884.847              4.584.458.248              21.850.318             414.087.862                      7   Valencia_c._-_Enamorats_c.__(_de_l'Oca_Pl.)
0007-01-J001-PV001-0004303JO             109101   C           Enamorats                             154                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.887.695              4.584.462.649              21.850.654             414.088.261                      7   Valencia_c._-_Enamorats_c.__(_de_l'Oca_Pl.)
0008-01-J001-PV001-0000321JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.479.389              4.584.819.328              21.801.402             414.120.038                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J001-PV001-0000322JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.473.444              4.584.817.954              21.800.693             414.119.910                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0000320JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.490.648              4.584.821.256              21.802.747             414.120.222                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0000323JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.858              4.584.813.616              21.802.661             414.119.533                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0004667JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.956              4.584.814.317              21.802.672             414.119.596                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0004668JO              90502   C           Corsega                               674                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.716              4.584.812.954              21.802.645             414.119.473                      8   Sant_Josep_de_Calassanç_Pl.
0011-01-J001-PV001-0000315JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.741.349              4.584.823.778              21.832.738             414.120.662                     11   Can_Robacols_Pl.
0011-01-J001-PV001-0000316JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.739.167              4.584.814.837              21.832.487             414.119.855                     11   Can_Robacols_Pl.
0011-01-J001-PV001-0000318JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.740.659              4.584.821.267              21.832.658             414.120.435                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0003466JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.193              4.584.821.124              21.830.210             414.120.405                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0003467JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.725.772              4.584.816.503              21.830.883             414.119.994                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0004669JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.106              4.584.821.786              21.830.199             414.120.465                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0004670JO             700175   Pl          Can_Robacols                            0                    10   Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.320              4.584.820.393              21.830.226             414.120.339                     11   Can_Robacols_Pl.
0013-01-J001-PV001-0000313JO              30409   C           Bac_de_Roda                           171                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                432.840.857              4.584.900.622              21.964.198             414.128.510                     13   Bac_de_Roda_c._-_Andrade_c._
